"","benchmark","dataset","algorithm","FM","AR"
"368","sipu","d31","kmeans",0.840569263072803,0.833686741482724
"369","sipu","flame","kmeans",0.736390680342687,0.4534129232217
"370","sipu","jain","kmeans",0.697722952563024,0.318093755619738
"371","sipu","pathbased","kmeans",0.661683902361625,0.46132893486545
"372","sipu","r15","kmeans",0.760108947792834,0.734858632731337
"373","sipu","s1","kmeans",0.906422523281126,0.898091391212269
"374","sipu","s2","kmeans",0.866185804327145,0.855663208444104
"375","sipu","s3","kmeans",0.695837481598886,0.673130442576721
"376","sipu","s4","kmeans",0.630892548214019,0.603627398493455
"377","sipu","spiral","kmeans",0.327405034915453,-0.00606185230314025
"378","sipu","unbalance","kmeans",0.755263580537557,0.658499727844569
"379","wut","cross","kmeans",0.441080386182212,0.108924395104799
"380","wut","smile","kmeans",0.644737409248033,0.512662569197019
"381","wut","twosplashes","kmeans",0.638643216080402,0.279093216080402
"382","wut","x1","kmeans",1,1
"383","wut","x2","kmeans",0.550659146316221,0.209054806135108
"384","wut","x3","kmeans",0.729318266601502,0.573699408511488
"385","wut","z1","kmeans",0.466000243189326,0.202945227193924
"386","wut","z2","kmeans",0.627463558750135,0.447424011940448
"387","wut","z3","kmeans",0.822703573320432,0.746599764438018
