,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,fcps,hepta,linkage_ward,4.0,0.5979857201328858,0.734471704925826,0.40508709880579136
0,fcps,hepta,genie,4.0,0.42862775877179426,0.33803374203167524,0.09900950560752377
0,fcps,hepta,kmeans,4.0,0.5979857201328858,0.734471704925826,0.40508709880579136
0,fcps,hepta,dbscan,4.0,0.4426094293923942,0.6063235473601288,0.31328213511722036
0,fcps,hepta,meanshift,4.0,0.37265466773681016,3.9943320941100137e-16,0.0
0,fcps,hepta,linkage_single,5.0,0.7239688863225722,0.855348597687096,0.6182014971179934
0,fcps,hepta,linkage_average,5.0,0.7239688863225722,0.855348597687096,0.6182014971179934
0,fcps,hepta,linkage_weighted,5.0,0.7239688863225722,0.855348597687096,0.6182014971179934
0,fcps,hepta,linkage_centroid,5.0,0.7239688863225722,0.855348597687096,0.6182014971179934
0,fcps,hepta,linkage_median,5.0,0.7239688863225722,0.855348597687096,0.6182014971179934
0,fcps,hepta,linkage_ward,5.0,0.7239688863225722,0.855348597687096,0.6182014971179934
0,fcps,hepta,genie,5.0,0.42862775877179426,0.33803374203167524,0.09900950560752377
0,fcps,hepta,kmeans,5.0,0.7239688863225722,0.8553485976870959,0.6182014971179934
0,fcps,hepta,dbscan,5.0,0.4426094293923942,0.6063235473601288,0.31328213511722036
0,fcps,hepta,meanshift,5.0,0.37265466773681016,3.9943320941100137e-16,0.0
0,fcps,hepta,linkage_single,7.0,1.0,1.0,1.0
0,fcps,hepta,linkage_average,7.0,1.0,1.0,1.0
0,fcps,hepta,linkage_weighted,7.0,1.0,1.0,1.0
0,fcps,hepta,linkage_centroid,7.0,1.0,1.0,1.0
0,fcps,hepta,linkage_median,7.0,1.0,1.0,1.0
0,fcps,hepta,linkage_ward,7.0,1.0,1.0,1.0
0,fcps,hepta,genie,7.0,0.42862775877179426,0.33803374203167524,0.09900950560752377
0,fcps,hepta,kmeans,7.0,1.0,1.0,1.0
0,fcps,hepta,dbscan,7.0,0.4426094293923942,0.6063235473601288,0.31328213511722036
